Sample Alpha Mass VelocityDispersion Radius
Perseus 7.2864713668823 0.24165789783001 0.14566676757812 0.02419999986887 
Perseus 3.6852796077728 0.37445849180222 0.1294959765625 0.02419999986887 
Perseus 8.1700305938721 0.19634704291821 0.12505520507813 0.02419999986887 
Perseus 3.2860045433044 0.46173688769341 0.13097559570313 0.02419999986887 
Perseus 7.5193095207214 0.24165789783001 0.15239030273437 0.02419999986887 
Perseus 11.657808303833 0.27835902571678 0.26323515625 0.02419999986887 
Perseus 2.516464471817 0.74464964866638 0.1717587890625 0.02419999986887 
Perseus 3.8691694736481 0.58743566274643 0.196841953125 0.02419999986887 
Perseus 1.2946400642395 0.75357431173325 0.0497333203125 0.02419999986887 
Perseus 6.8231692314148 0.2109032869339 0.115343125 0.02419999986887 
Perseus 4.0234036445618 0.30875718593597 0.083696357421875 0.02419999986887 
